Date,"Net
Sales",Actual,Overtime,Actual,"Actual
Labor"
03/17/24,"$3,493.19",38.26h,4.60h,$701.45,20.08%
03/18/24,"$2,767.85",35.68h,0.00h,$611.39,22.09%
03/19/24,"$3,468.12",37.23h,0.00h,$657.08,18.95%
03/20/24,"$5,382.82",48.76h,0.00h,$843.72,15.67%
03/21/24,"$3,852.25",42.10h,0.00h,$725.99,18.85%
03/22/24,"$4,170.56",50.81h,0.00h,$879.88,21.10%
03/23/24,"$3,922.93",44.25h,0.00h,$774.82,19.75%
03/24/24,"$2,961.81",40.43h,0.00h,$711.08,24.01%
03/25/24,"$3,083.26",36.10h,0.00h,$618.36,20.06%
03/26/24,"$1,901.46",29.98h,0.00h,$528.28,27.78%
03/27/24,"$4,839.46",43.46h,0.00h,$756.57,15.63%
03/28/24,"$5,667.03",47.33h,0.00h,$825.54,14.57%
03/29/24,"$2,847.12",34.60h,0.00h,$600.68,21.10%
03/30/24,"$2,856.79",42.56h,0.00h,$746.02,26.11%
03/31/24,"$1,460.53",24.48h,0.00h,$429.03,29.38%
04/1/24,"$3,030.69",33.74h,0.00h,$579.06,19.11%
04/2/24,"$3,092.70",36.83h,0.00h,$657.08,21.25%
04/3/24,"$4,271.00",45.71h,0.00h,$792.62,18.56%
04/4/24,"$3,521.97",43.50h,0.00h,$753.69,21.40%
04/5/24,"$4,226.88",46.74h,0.00h,$811.26,19.19%
04/6/24,"$4,107.72",44.95h,0.00h,$786.52,19.15%
04/7/24,"$3,562.08",40.15h,0.00h,$702.32,19.72%
04/8/24,"$2,910.67",35.50h,0.00h,$606.93,20.85%
04/9/24,"$3,299.47",38.05h,0.00h,$676.06,20.49%
04/10/24,"$4,624.90",51.00h,0.00h,$878.70,19.00%
